"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P5";"Pin_Header_Angled_2x25";1;"CONN_02X25";;;
2;"P2";"Pin_Header_Angled_2x03";1;"SPI4";;;
3;"Joystick Port1,J1,Joystick Port2";"DB9MC";3;"DB9";;;
4;"U1";"DIP-40_W15.24mm_LongPads";1;"G65SC22P";;;
5;"U2";"DIP-14_W7.62mm_LongPads";1;"7400";;;
6;"U11";"DIP-16_W7.62mm_LongPads";1;"MAX232";;;
7;"MH1,MH2,MH4,MH3";"MountingHole_3mm";4;"MountingHole_3mm_RevA_Date21Jun2010";;;
8;"BT1";"CR2032H";1;"BATTERY";;;
9;"C1,C2,C3,C5,C7,C9,C10,C8";"C_Disc_D3_P2.5";8;"100nF";;;
10;"C4";"C_Disc_D3_P2.5";1;"100µF";;;
11;"C6";"C_Radial_D5_L6_P2.5";1;"10µF";;;
12;"C11,C12";"C_Rect_L4_W2.5_P2.5";2;"100nF";;;
13;"C13,C15,C16,C17,C18";"C_Radial_D5_L6_P2.5";5;"1µF";;;
14;"IC1";"DIP-28_W7.62mm_LongPads";1;"ATMEGA8-P";;;
15;"P3";"Pin_Header_Angled_2x03";1;"ISP";;;
16;"P4";"mini_din-M_DIN6";1;"PS/2 Keyboard";;;
17;"R1,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R18,R19,R20,R21";"Resistor_Horizontal_RM7mm";15;"1k";;;
18;"R2,R3";"Resistor_Horizontal_RM7mm";2;"10k";;;
19;"R4,R5";"Resistor_Horizontal_RM7mm";2;"47k";;;
20;"R16";"Resistor_Horizontal_RM7mm";1;"4k7";;;
21;"R17";"Resistor_Horizontal_RM7mm";1;"3k3";;;
22;"RR1";"Resistor_Array_SIP8";1;"1k";;;
23;"SDCARD1";"SD_Card_Receptacle";1;"SD_Card";;;
24;"U3";"DIP-20_W7.62mm_LongPads";1;"74LS244";;;
25;"U4";"DIP-14_W7.62mm_LongPads";1;"74125";;;
26;"U5";"TO-92_Inline_Narrow_Oval";1;"LP2950";;;
27;"U7";"DIP-16_W7.62mm_LongPads";1;"DS1306";;;
28;"U9";"DIP-14_W7.62mm_LongPads";1;"74LS06";;;
29;"U10";"DIP-40_W15.24mm_LongPads";1;"16550";;;
30;"X1";"Crystal_Round_Vertical_3mm_BigPad";1;"CRYSTAL_SMD";;;
31;"X2";"KXO-200_LargePads";1;"OSC";;;
32;"U6";"DIP-14_W7.62mm_LongPads";1;"7407";;;
33;"P1";"Pin_Header_Angled_2x08";1;"USERPORT";;;
34;"P6";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
